label	name	phylum
Archaea__Euryarchaeota__Methanomicrobia__Methanocellales__Methanocellaceae__Methanocella__Methanocella_paludicola_SANAE--AP011532.1525044.1526513	Methanocella_paludicola_SANAE	Euryarchaeota
Archaea__Euryarchaeota__Methanomicrobia__Methanomicrobiales__Methanomicrobiaceae__Methanoculleus__Methanoculleus_marisnigri_JR1--CP000562.1822651.1824115	Methanoculleus_marisnigri_JR1	Euryarchaeota
Archaea__Euryarchaeota__Methanomicrobia__Methanosarcinales__Methanosaetaceae__Methanosaeta__Methanosaeta_concilii--X51423.206.1677	Methanosaeta_concilii	Euryarchaeota
Bacteria__Actinobacteria__Actinobacteria__Actinomycetales__Actinomycetaceae__Actinomyces__Actinomyces_bovis--X81061.1.1434	Actinomyces_bovis	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Microbacteriaceae__Microbacterium__Microbacterium_lacticum--X77441.1.1474	Microbacterium_lacticum	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Micrococcaceae__Yaniella__Yaniella_halotolerans--AY228479.1.1503	Yaniella_halotolerans	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Micrococcales__Promicromonosporaceae__Isoptericola__Isoptericola_variabilis--AJ298873.1.1472	Isoptericola_variabilis	Actinobacteria
Bacteria__Actinobacteria__Actinobacteria__Propionibacteriales__Nocardioidaceae__Nocardioides__Nocardioides_sp_0714C4_4--HM222686.1.1483	Nocardioides_sp_0714C4_4	Actinobacteria
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Dermabacteraceae__Brachybacterium__Brachybacterium_conglomeratum--AB537169.1.1458	Brachybacterium_conglomeratum	Actinobacteriota
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Micrococcaceae__Micrococcus__Micrococcus_luteus--AB023371.1.1468	Micrococcus_luteus	Actinobacteriota
Bacteria__Actinobacteriota__Actinobacteria__Micrococcales__Micrococcaceae__Micrococcus__Micrococcus_yunnanensis--FJ214355.1.1426	Micrococcus_yunnanensis	Actinobacteriota
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Flexithrix__Flexithrix_dorotheae--AB681020.1.1448	Flexithrix_dorotheae	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Luteivirga__Marivirga_sericea--AB078082.1.1479	Marivirga_sericea	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Marinoscillum__uncultured_bacterium--EF573486.1.1485	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Reichenbachiella__Bacteroidetes_bacterium_O_014--DQ812543.1.1464	Bacteroidetes_bacterium_O_014	Bacteroidetes
Bacteria__Bacteroidetes__Cytophagia__Cytophagales__Flammeovirgaceae__Reichenbachiella__uncultured_Bacteroidetes_bacterium--JQ579830.1.1481	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Fluviicola__uncultured_bacterium--GU584645.1.1390	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__NS10_marine_group__uncultured_Flavobacteriia_bacterium--FQ032815.3262.4778	uncultured_Flavobacteriia_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Owenweeksia__Owenweeksia_hongkongensis--AB125062.1.1482	Owenweeksia_hongkongensis	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Cryomorphaceae__Owenweeksia__uncultured_Bacteroidetes_bacterium--EF016471.1.1478	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Chryseobacterium__Chryseobacterium_gleum--AM232812.1.1438	Chryseobacterium_gleum	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Formosa__uncultured_bacterium--EF574301.1.1488	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Kordia__Kordia_algicida--AB681152.1.1447	Kordia_algicida	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS2b_marine_group__uncultured_Flavobacteriia_bacterium--FN433398.1.1481	uncultured_Flavobacteriia_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS4_marine_group__uncultured_Bacteroidetes_bacterium--EF016474.1.1494	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__NS5_marine_group__uncultured_marine_bacterium--DQ009115.1.2314	uncultured_marine_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Polaribacter__Polaribacter_sp_J11_21--FJ425214.1.1414	Polaribacter_sp_J11_21	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Psychroserpens__Arctic_sea_ice_bacterium_ARK10217--AF468427.1.1466	Arctic_sea_ice_bacterium_ARK10217	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Tenacibaculum__Flexibacter_aurantiacus_subsp_copepodarum--AB078044.1.1475	Flexibacter_aurantiacus_subsp_copepodarum	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Ulvibacter__uncultured_Flavobacteriia_bacterium--FN433370.1.1478	uncultured_Flavobacteriia_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__uncultured_Flavobacteriaceae--MK391175	uncultured_Flavobacteriaceae	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__uncultured__uncultured_Bacteroidetes_bacterium--EF471584.1.1482	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__Flavobacteriaceae__Winogradskyella__Winogradskyella_sp_KYW_630--JQ687107.1.1452	Winogradskyella_sp_KYW_630	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__NS7_marine_group__uncultured_bacterium--JQ287452.1.1501	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Flavobacteriia__Flavobacteriales__NS9_marine_group__uncultured_bacterium--EF572761.1.1483	uncultured_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__NS11_12_marine_group__uncultured_Bacteroidetes_bacterium--AM279204.8.1480	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__Saprospiraceae__Aureispira__Aureispira_maritima--AB278130.1.1432	Aureispira_maritima	Bacteroidetes
Bacteria__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__Saprospiraceae__Lewinella__Lewinella_persica--EU371935.1.1488	Lewinella_persica	Bacteroidetes
Bacteria__Bacteroidetes__Sphingobacteriia__Sphingobacteriales__Saprospiraceae__uncultured__uncultured_Bacteroidetes_bacterium--EF471582.1.1484	uncultured_Bacteroidetes_bacterium	Bacteroidetes
Bacteria__Bacteroidota__Bacteroidia__Cytophagales__Cyclobacteriaceae__Fabibacter__Fabibacter_pacificus--KC005305.1.1442	Fabibacter_pacificus	Bacteroidota
Bacteria__Bdellovibrionota__Bdellovibrionia__Bacteriovoracales__Bacteriovoracaceae__Halobacteriovorax__Halobacteriovorax_sp._PA1--KR493097.1.1472	Halobacteriovorax_sp._PA1	Bdellovibrionota
Bacteria__Campylobacterota__Campylobacteria__Campylobacterales__Arcobacteraceae__Malaciobacter__uncultured_bacterium--JF831360.1.915	uncultured_bacterium	Campylobacterota
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Chlamydiaceae__Chlamydia__Chlamydia_trachomatis--D89067.1.1548	Chlamydia_trachomatis	Chlamydiae
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Chlamydiaceae__Chlamydophila__Chlamydophila_psittaci--U68447.1.1553	Chlamydophila_psittaci	Chlamydiae
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Parachlamydiaceae__Neochlamydia__Neochlamydia_hartmannellae--AF177275.1.1529	Neochlamydia_hartmannellae	Chlamydiae
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Parachlamydiaceae__Parachlamydia__Parachlamydia_acanthamoebae--Y07556.1.1541	Parachlamydia_acanthamoebae	Chlamydiae
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Simkaniaceae__Simkania__Simkania_negevensis--U68460.1.1545	Simkania_negevensis	Chlamydiae
Bacteria__Chlamydiae__Chlamydiae__Chlamydiales__Waddliaceae__Waddlia__Waddlia_chondrophila--AF042496.1.1557	Waddlia_chondrophila	Chlamydiae
Bacteria__Chlorobi__Chlorobia__Chlorobiales__Chlorobiaceae__Chlorobium__Chlorobium_limicola_DSM_245--CP001097.112995.114488	Chlorobium_limicola_DSM_245	Chlorobi
Bacteria__Chlorobi__Chlorobia__Chlorobiales__Chlorobiaceae__Prosthecochloris__Prosthecochloris_aestuarii_DSM_271--CP001108.147535.149029	Prosthecochloris_aestuarii_DSM_271	Chlorobi
Bacteria__Chloroflexi__Anaerolineae__Anaerolineales__Anaerolineaceae__Anaerolinea__Anaerolinea_thermophila--AB046413.1.1457	Anaerolinea_thermophila	Chloroflexi
Bacteria__Chloroflexi__Caldilineae__Caldilineales__Caldilineaceae__Caldilinea__Caldilinea_aerophila--AB067647.1.1427	Caldilinea_aerophila	Chloroflexi
Bacteria__Chloroflexi__Chloroflexia__Chloroflexales__Chloroflexaceae__Chloroflexus__Chloroflexus_aggregans_DSM_9485--CP001337.3007559.3009032	Chloroflexus_aggregans_DSM_9485	Chloroflexi
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Gloeobacter__Gloeobacter_violaceus_PCC_7421--AF132790.1.1407	Gloeobacter_violaceus_PCC_7421	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Prochlorococcus__Prochlorococcus_marinus_str_MIT_9313--AF053399.1.1400	Prochlorococcus_marinus_str_MIT_9313	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Prochlorococcus__Prochlorococcus_marinus_subsp_pastoris_str_NATL1--AF311218.1.1437	Prochlorococcus_marinus_subsp_pastoris_str_NATL1	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Prochlorococcus__Prochlorococcus_marinus_subsp_pastoris_str_NATL2--AF311219.1.1436	Prochlorococcus_marinus_subsp_pastoris_str_NATL2	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Synechococcus__Synechococcus_sp_WH_5701--AY172832.1.1440	Synechococcus_sp_WH_5701	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteria__SubsectionI__FamilyI__Synechococcus__Synechococcus_sp_WH_8109--AY172836.1.1440	Synechococcus_sp_WH_8109	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteriia__Cyanobacteriales__Desertifilaceae__Roseofilum_AO1-A__Roseofilum_reptotaenium_AO1-A--MLAW01000094.181.1675	Roseofilum_reptotaenium_AO1-A	Cyanobacteria
Bacteria__Cyanobacteria__Cyanobacteriia__Cyanobacteriales__Desertifilaceae__Roseofilum_AO1-A__Roseofilum_reptotaenium_CDM2--LC368145.1.860	Roseofilum_reptotaenium_CDM2	Cyanobacteria
Bacteria__Deferribacteres__Deferribacteres__Deferribacterales__Deferribacterales_Incertae_Sedis__Caldithrix__Caldithrix_abyssi--AJ430587.1.1504	Caldithrix_abyssi	Deferribacteres
Bacteria__Fibrobacteres__Fibrobacteria__Fibrobacterales__Fibrobacteraceae__Fibrobacter__Fibrobacter_succinogenes_subsp_succinogenes_S85--AJ496032.1.1410	Fibrobacter_succinogenes_subsp_succinogenes_S85	Fibrobacteres
Bacteria__Fibrobacteres__Fibrobacteria__Fibrobacterales__Fibrobacteraceae__uncultured__uncultured_bacterium--FJ905717.1.1414	uncultured_bacterium	Fibrobacteres
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Bacillus__Bacillus_lehensis--AY793550.1.1525	Bacillus_lehensis	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Bacillus__Bacillus_oshimensis--EU977642.1.1350	Bacillus_oshimensis	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Bacillus__Bacillus_subtilis--AJ276351.1.1517	Bacillus_subtilis	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Geobacillus__Geobacillus_stearothermophilus--AB021196.1.1523	Geobacillus_stearothermophilus	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Oceanobacillus__Oceanobacillus_iheyensis_HTE831--AB010863.1.1525	Oceanobacillus_iheyensis_HTE831	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Bacillaceae__Saccharococcus__Saccharococcus_thermophilus--L09227.1.1538	Saccharococcus_thermophilus	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Paenibacillaceae__Brevibacillus__Brevibacillus_brevis--AB271756.1.1461	Brevibacillus_brevis	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Paenibacillaceae__Paenibacillus__Paenibacillus_polymyxa--D16276.1.1491	Paenibacillus_polymyxa	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Planococcaceae__Planococcus__Planococcus_rifietoensis--AJ493659.1.1531	Planococcus_rifietoensis	Firmicutes
Bacteria__Firmicutes__Bacilli__Bacillales__Staphylococcaceae__Staphylococcus__Staphylococcus_aureus--L36472.3194.4748	Staphylococcus_aureus	Firmicutes
Bacteria__Firmicutes__Bacilli__Exiguobacterales__Exiguobacteraceae__Exiguobacterium__Exiguobacterium_sp._R1t9--DQ530521.1.770	Exiguobacterium_sp._R1t9	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Aerococcaceae__Aerococcus__Aerococcus_viridans_ATCC_11563--ADNT01000041.30.1567	Aerococcus_viridans_ATCC_11563	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Enterococcaceae__Enterococcus__Enterococcus_faecalis--AB012212.1.1517	Enterococcus_faecalis	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Enterococcaceae__Pilibacter__Pilibacter_termitis--AY533171.1.1432	Pilibacter_termitis	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Lactobacillaceae__Lactobacillus__Lactobacillus_delbrueckii_subsp_delbrueckii--AY773949.1.1518	Lactobacillus_delbrueckii_subsp_delbrueckii	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Lactobacillaceae__Lactobacillus__Lactobacillus_selangorensis--AF049745.1.1495	Lactobacillus_selangorensis	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Lactobacillaceae__Pediococcus__Pediococcus_damnosus--AJ318414.1.1561	Pediococcus_damnosus	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Leuconostocaceae__Leuconostoc__Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293--CP000414.148404.149952	Leuconostoc_mesenteroides_subsp_mesenteroides_ATCC_8293	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Leuconostocaceae__Weissella__Weissella_viridescens--AB023236.1.1479	Weissella_viridescens	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Streptococcaceae__Lactococcus__Lactococcus_lactis_subsp_lactis--AB100803.1.1499	Lactococcus_lactis_subsp_lactis	Firmicutes
Bacteria__Firmicutes__Bacilli__Lactobacillales__Streptococcaceae__Streptococcus__Streptococcus_pyogenes--AB002521.1.1393	Streptococcus_pyogenes	Firmicutes
Bacteria__Firmicutes__Clostridia__Clostridiales__Clostridiaceae_1__Clostridium_sensu_stricto_1__Clostridium_butyricum--AJ458420.1.1425	Clostridium_butyricum	Firmicutes
Bacteria__Firmicutes__Clostridia__Halanaerobiales__Halanaerobiaceae__Halothermothrix__Halothermothrix_orenii--L22016.1.1534	Halothermothrix_orenii	Firmicutes
Bacteria__Firmicutes__Clostridia__Halanaerobiales__Halobacteroidaceae__Orenia__Orenia_marismortui--X89073.1.1476	Orenia_marismortui	Firmicutes
Bacteria__Gemmatimonadetes__Gemmatimonadetes__Gemmatimonadales__Gemmatimonadaceae__Gemmatimonas__Gemmatimonas_aurantiaca--AB072735.1.1446	Gemmatimonas_aurantiaca	Gemmatimonadetes
Bacteria__Lentisphaerae__Lentisphaeria__Lentisphaerales__Lentisphaeraceae__Lentisphaera__Lentisphaera_araneosa--AY390428.1.1478	Lentisphaera_araneosa	Lentisphaerae
Bacteria__Lentisphaerae__Lentisphaeria__Victivallales__Victivallaceae__Victivallis__Victivallis_vadensis--AY049713.1.1456	Victivallis_vadensis	Lentisphaerae
Bacteria__Lentisphaerae__Oligosphaeria__Oligosphaerales__Oligosphaeraceae__Oligosphaera__Oligosphaera_ethanolica--AB558581.1.1434	Oligosphaera_ethanolica	Lentisphaerae
Bacteria__Nitrospirae__Nitrospira__Nitrospirales__Nitrospiraceae__Leptospirillum__Leptospirillum_ferrooxidans--X86776.1.1484	Leptospirillum_ferrooxidans	Nitrospirae
Bacteria__Nitrospirae__Nitrospira__Nitrospirales__Nitrospiraceae__Thermodesulfovibrio__Thermodesulfovibrio_yellowstonii--AB231858.1.1461	Thermodesulfovibrio_yellowstonii	Nitrospirae
Bacteria__Planctomycetes__Planctomycetacia__Planctomycetales__Planctomycetaceae__Blastopirellula__Blastopirellula_marina_DSM_3645--AANZ01000001.1.762	Blastopirellula_marina_DSM_3645	Planctomycetes
Bacteria__Planctomycetes__Planctomycetacia__Planctomycetales__Planctomycetaceae__Rhodopirellula__Pirellula_sp--X81940.1.1495	Pirellula_sp	Planctomycetes
Bacteria__Proteobacteria__Alphaproteobacteria__OCS116_clade__uncultured_alpha_proteobacterium--FJ425651.1.1456	uncultured_alpha_proteobacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Phyllobacteriaceae__Hoeflea__uncultured_Rhizobiales_bacterium--AB294974.1.1441	uncultured_Rhizobiales_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Rhizobiaceae__Aurantimonas__Aurantimonas_coralicida--AB682667.1.1412	Aurantimonas_coralicida	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Rhizobiaceae__Shinella__uncultured_bacterium--JF177591.1.1306	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Rhodobiaceae__Rhodobium__uncultured_bacterium--JX017058.1.1443	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Stappiaceae__Labrenzia__Labrenzia_aggregata--AB681109.1.1408	Labrenzia_aggregata	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhizobiales__Stappiaceae__Pseudovibrio__Pseudovibrio_sp._P12--KX198136.1.750	Pseudovibrio_sp._P12	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Candidatus_Planktomarina__DC5_80_3_lineage__uncultured_marine_bacterium--FR683115.1.1427	uncultured_marine_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Leisingera__Roseobacter_sp_PIC_68--AJ534238.1.1355	Roseobacter_sp_PIC_68	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Leisingera__uncultured_bacterium--GU220735.1.1444	uncultured_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Lentibacter__uncultured_marine_bacterium--FJ825966.1.1417	uncultured_marine_bacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Loktanella__Rhodobacteraceae_bacterium_HTCC2150--AAXZ01000001.204045.205490	Rhodobacteraceae_bacterium_HTCC2150	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Loktanella__uncultured_alpha_proteobacterium--GQ472792.1.1424	uncultured_alpha_proteobacterium	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Marivita__Marivita_cryptomonadis--EU512919.1.1376	Marivita_cryptomonadis	Proteobacteria
Bacteria__Proteobacteria__Alphaproteobacteria__Rhodobacterales__Rhodobacteraceae__Marivita__Marivita_litorea--EU512918.1.1369	Marivita_litorea	Proteobacteria
